experiment,variable,run,k_reg,learning_rate,grad_clip_norm
MTL,CERAD,0,0.001000,0.000100,0.100000
MTL,CERAD,1,0.001000,0.000100,0.010000
MTL,CERAD,2,0.001000,0.000100,0.010000
MTL,CERAD,3,0.001000,0.001000,0.010000
MTL,CERAD,4,0.001000,0.001000,0.100000
MTL,BRAAK,0,0.000010,0.001000,0.010000
MTL,BRAAK,1,0.001000,0.001000,0.100000
MTL,BRAAK,2,0.001000,0.001000,0.010000
MTL,BRAAK,3,0.001000,0.001000,0.010000
MTL,BRAAK,4,0.001000,0.001000,0.100000
MTL,PLAQUES,0,0.000010,0.001000,0.010000
MTL,PLAQUES,1,0.001000,0.001000,0.100000
MTL,PLAQUES,2,0.000010,0.001000,0.010000
MTL,PLAQUES,3,0.000010,0.001000,0.010000
MTL,PLAQUES,4,0.001000,0.001000,0.100000
MTL,TANGLES,0,0.001000,0.000100,0.100000
MTL,TANGLES,1,0.001000,0.000100,0.100000
MTL,TANGLES,2,0.001000,0.000100,0.010000
MTL,TANGLES,3,0.001000,0.000100,0.010000
MTL,TANGLES,4,0.001000,0.000100,0.100000
MTL,TAU_IHC,0,0.001000,0.001000,0.010000
MTL,TAU_IHC,1,0.001000,0.000100,0.100000
MTL,TAU_IHC,2,0.001000,0.000100,0.100000
MTL,TAU_IHC,3,0.001000,0.000100,0.100000
MTL,TAU_IHC,4,0.001000,0.001000,0.010000
MTL,ABETA_IHC,0,0.001000,0.000100,0.100000
MTL,ABETA_IHC,1,0.001000,0.000100,0.100000
MTL,ABETA_IHC,2,0.001000,0.000100,0.010000
MTL,ABETA_IHC,3,0.001000,0.000100,0.100000
MTL,ABETA_IHC,4,0.001000,0.001000,0.100000
MLP_baselines,CERAD,0,0.000010,0.000100,0.100000
MLP_baselines,CERAD,1,0.000010,0.000100,0.100000
MLP_baselines,CERAD,2,0.000010,0.000100,0.100000
MLP_baselines,CERAD,3,0.000010,0.000100,0.010000
MLP_baselines,CERAD,4,0.000010,0.000100,0.010000
MLP_baselines,BRAAK,0,0.000010,0.001000,0.100000
MLP_baselines,BRAAK,1,0.000010,0.001000,0.100000
MLP_baselines,BRAAK,2,0.001000,0.001000,0.100000
MLP_baselines,BRAAK,3,0.000010,0.001000,0.010000
MLP_baselines,BRAAK,4,0.001000,0.001000,0.100000
MLP_baselines,PLAQUES,0,0.000010,0.001000,0.010000
MLP_baselines,PLAQUES,1,0.000010,0.001000,0.100000
MLP_baselines,PLAQUES,2,0.000010,0.001000,0.100000
MLP_baselines,PLAQUES,3,0.000010,0.001000,0.010000
MLP_baselines,PLAQUES,4,0.000010,0.001000,0.100000
MLP_baselines,TANGLES,0,0.001000,0.000100,0.010000
MLP_baselines,TANGLES,1,0.001000,0.000100,0.010000
MLP_baselines,TANGLES,2,0.001000,0.000100,0.100000
MLP_baselines,TANGLES,3,0.001000,0.000100,0.010000
MLP_baselines,TANGLES,4,0.001000,0.001000,0.010000
MLP_baselines,TAU_IHC,0,0.000010,0.001000,0.010000
MLP_baselines,TAU_IHC,1,0.000010,0.001000,0.010000
MLP_baselines,TAU_IHC,2,0.000010,0.001000,0.010000
MLP_baselines,TAU_IHC,3,0.001000,0.001000,0.100000
MLP_baselines,TAU_IHC,4,0.000010,0.001000,0.010000
MLP_baselines,ABETA_IHC,0,0.000010,0.000100,0.100000
MLP_baselines,ABETA_IHC,1,0.001000,0.000100,0.100000
MLP_baselines,ABETA_IHC,2,0.000010,0.000100,0.100000
MLP_baselines,ABETA_IHC,3,0.000010,0.000100,0.100000
MLP_baselines,ABETA_IHC,4,0.001000,0.000100,0.010000
Linear_baselines,CERAD,0,0.000010,0.000100,0.100000
Linear_baselines,CERAD,1,0.000010,0.000100,0.010000
Linear_baselines,CERAD,2,0.000010,0.000100,0.010000
Linear_baselines,CERAD,3,0.000010,0.000100,0.010000
Linear_baselines,CERAD,4,0.000010,0.000100,0.010000
Linear_baselines,BRAAK,0,0.000010,0.000100,0.100000
Linear_baselines,BRAAK,1,0.000010,0.000100,0.010000
Linear_baselines,BRAAK,2,0.000010,0.000100,0.010000
Linear_baselines,BRAAK,3,0.000010,0.000100,0.100000
Linear_baselines,BRAAK,4,0.000010,0.001000,0.010000
Linear_baselines,PLAQUES,0,0.000010,0.000100,0.010000
Linear_baselines,PLAQUES,1,0.001000,0.000100,0.010000
Linear_baselines,PLAQUES,2,0.000010,0.000100,0.100000
Linear_baselines,PLAQUES,3,0.000010,0.000100,0.010000
Linear_baselines,PLAQUES,4,0.000010,0.000100,0.100000
Linear_baselines,TANGLES,0,0.001000,0.001000,0.100000
Linear_baselines,TANGLES,1,0.001000,0.001000,0.100000
Linear_baselines,TANGLES,2,0.001000,0.001000,0.100000
Linear_baselines,TANGLES,3,0.001000,0.000100,0.100000
Linear_baselines,TANGLES,4,0.001000,0.001000,0.010000
Linear_baselines,TAU_IHC,0,0.001000,0.000100,0.010000
Linear_baselines,TAU_IHC,1,0.000010,0.000100,0.100000
Linear_baselines,TAU_IHC,2,0.001000,0.000100,0.100000
Linear_baselines,TAU_IHC,3,0.001000,0.000100,0.100000
Linear_baselines,TAU_IHC,4,0.001000,0.000100,0.010000
Linear_baselines,ABETA_IHC,0,0.000010,0.000100,0.010000
Linear_baselines,ABETA_IHC,1,0.001000,0.000100,0.010000
Linear_baselines,ABETA_IHC,2,0.000010,0.000100,0.100000
Linear_baselines,ABETA_IHC,3,0.001000,0.000100,0.010000
Linear_baselines,ABETA_IHC,4,0.001000,0.000100,0.010000
